Symptom,Symptom,Disease,Treatment
Heartburn,chestpain,Gastroesophageal Reflux Disease (GERD),Antacids
Abdominal pain,bloating,Peptic Ulcer Disease,Proton pump inhibitors
Abdominal cramping,diarrhea,Irritable Bowel Syndrome (IBS),Dietary changes
Abdominal pain,diarrhea,Crohn's Disease,Immunosuppressants
Diarrhea,rectalbleeding,Ulcerative Colitis,5-ASA compounds
Diarrhea,bloating,Celiac Disease,Gluten-free diet
Sudden pain in the abdomen,nausea,Gallstones,Surgery
Fatigue,jaundice,Hepatitis,Antiviral medications
Severe abdominal pain,nausea,Pancreatitis,Hospitalization
Abdominal pain,fever,Diverticulitis,Antibiotics
Infrequent bowel movements,hardstools,Constipation,Increased fiber intake
Diarrhea,vomiting,Gastroenteritis,Rehydration
Difficulty swallowing,regurgitation,Achalasia,Surgery
Heartburn,difficultyswallowing,Barrett's Esophagus,Surveillance
Abdominal pain,weightloss,Pancreatic Cancer,Surgery
Confusion,alteredlevelofconsciousness,Hepatic Encephalopathy,Lactulose
Fatigue,abdominaldiscomfort,Non-alcoholic Fatty Liver Disease (NAFLD),Weight loss
Abdominal pain,bleeding,Gastrointestinal Stromal Tumors (GIST),Surgery
Acid reflux,difficultyswallowing,Scleroderma,Medications to manage symptoms
Bloating,nausea,Functional Dyspepsia,Dietary changes
Abdominal pain,vomiting,Bowel Obstruction,Surgery
Vomiting blood,blackstools,Esophageal Varices,Endoscopic procedures
Severe abdominal pain,nausea,Mesenteric Ischemia,Surgery
Abdominal pain,constipation,Intestinal Adhesions,Surgery
Bloating,diarrhea,Small Intestinal Bacterial Overgrowth (SIBO),Antibiotics
Watery diarrhea,fever,Clostridium Difficile Infection (CDI),Antibiotics
Fatigue,easybruising,Liver Cirrhosis,Lifestyle changes
Severe abdominal pain,diarrhea,Zollinger-Ellison Syndrome,Surgery
Difficulty swallowing,chestpain,Gastroesophageal Junction Obstruction,Surgery
Diarrhea,abdominalcramps,Pseudomembranous Colitis,Antibiotics
Weight loss,steatorrhea(fattystools),Pancreatic Insufficiency,Pancreatic enzyme replacement therapy
Abdominal pain,nausea,Gastroesophageal Reflux Disease (GERD),Antacids
Diarrhea,cramping,Inflammatory Bowel Disease,Anti-inflammatory drugs
Bloating,heartburn,Peptic Ulcer Disease,Proton pump inhibitors
Constipation,painfulbowelmovements,Anal Fissure,Topical treatments
Gas,belching,Lactose Intolerance,Lactase supplements
Abdominal pain,diarrhea,Celiac Disease,Gluten-free diet
Nausea,fever,Gastroenteritis,Hydration
Vomiting,abdominaldiscomfort,Gastroparesis,Dietary changes
Stomach pain,constipation,Functional Constipation,Laxatives
Flatulence,diarrhea,Irritable Bowel Syndrome,Dietary modifications
Abdominal pain,weightloss,Crohn's Disease,Anti-inflammatory medications
Nausea,abdominalswelling,Ascites,Diuretics
Heartburn,regurgitation,Esophageal Varices,Antacids
Bloating,excessivegas,Functional Dyspepsia,Dietary modifications
Diarrhea,dehydration,Rotavirus Infection,Oral rehydration therapy
Abdominal cramps,nausea,Salmonella Infection,Antibiotics if severe
Constipation,abdominalpain,Intestinal Obstruction,Surgery
Loss of appetite,stomachpain,Peptic Ulcer Disease,Proton pump inhibitors
Gas,stomachcramps,Gastritis,Antacids
Abdominal pain,bloating,Gallstones,Surgery
Nausea,diarrhea,Infectious Colitis,Hydration
Stomach pain,heartburn,Hiatal Hernia,Lifestyle changes
Vomiting,abdominalpain,Pancreatitis,Fasting
Diarrhea,abdominalcramps,Gastroenteritis,Hydration
Constipation,flatulence,IBS (Irritable Bowel Syndrome),Dietary changes
Nausea,severeabdominalpain,Appendicitis,Surgery
Abdominal pain,fatigue,Hepatitis,Antiviral medications
Diarrhea,abdominalpain,Colon Cancer,Surgery
Gas,bloating,Functional Dyspepsia,Dietary modifications
Stomach cramps,diarrhea,Clostridium Difficile Infection,Antibiotics
Abdominal swelling,nausea,Liver Cirrhosis,Dietary changes
Heartburn,regurgitation,Laryngopharyngeal Reflux Disease,Lifestyle modifications
Loss of appetite,abdominaldiscomfort,Gastroparesis,Dietary changes
Nausea,vomiting,Food Poisoning,Hydration
Abdominal pain,changesinbowelhabits,Diverticulitis,Antibiotics
Bloating,constipation,Functional Constipation,Laxatives
Diarrhea,cramps,Gastroenteritis,Hydration
Abdominal pain,bloating,Esophageal Spasm,Dietary changes
Nausea,lossofappetite,Pancreatic Cancer,Pain management
Stomach cramps,changesinappetite,Gastric Cancer,Surgery
Diarrhea,abdominalpain,Ulcerative Colitis,Anti-inflammatory medications
Bloating,gas,Hiatal Hernia,Lifestyle changes
Abdominal discomfort,nausea,Biliary Colic,Pain management
Heartburn,chestpain,Gastroesophageal Reflux Disease (GERD),Antacids
Abdominal pain,bloating,Peptic Ulcer Disease,Proton pump inhibitors
Abdominal cramping,diarrhea,Irritable Bowel Syndrome (IBS),Dietary changes
Abdominal pain,diarrhea,Crohn's Disease,Immunosuppressants
Diarrhea,rectalbleeding,Ulcerative Colitis,5-ASA compounds
Diarrhea,bloating,Celiac Disease,Gluten-free diet
Sudden pain in the abdomen,nausea,Gallstones,Surgery
Fatigue,jaundice,Hepatitis,Antiviral medications
Severe abdominal pain,nausea,Pancreatitis,Hospitalization
Abdominal pain,fever,Diverticulitis,Antibiotics
Infrequent bowel movements,hardstools,Constipation,Increased fiber intake
Diarrhea,vomiting,Gastroenteritis,Rehydration
Difficulty swallowing,regurgitation,Achalasia,Surgery
Heartburn,difficultyswallowing,Barrett's Esophagus,Surveillance
Abdominal pain,weightloss,Pancreatic Cancer,Surgery
Confusion,alteredlevelofconsciousness,Hepatic Encephalopathy,Lactulose
Fatigue,abdominaldiscomfort,Non-alcoholic Fatty Liver Disease (NAFLD),Weight loss
Abdominal pain,bleeding,Gastrointestinal Stromal Tumors (GIST),Surgery
Acid reflux,difficultyswallowing,Scleroderma,Medications to manage symptoms
Bloating,nausea,Functional Dyspepsia,Dietary changes
Abdominal pain,vomiting,Bowel Obstruction,Surgery
Vomiting blood,blackstools,Esophageal Varices,Endoscopic procedures
Severe abdominal pain,nausea,Mesenteric Ischemia,Surgery
Abdominal pain,constipation,Intestinal Adhesions,Surgery
Bloating,diarrhea,Small Intestinal Bacterial Overgrowth (SIBO),Antibiotics
Watery diarrhea,fever,Clostridium Difficile Infection (CDI),Antibiotics
Fatigue,easybruising,Liver Cirrhosis,Lifestyle changes
Severe abdominal pain,diarrhea,Zollinger-Ellison Syndrome,Surgery
Difficulty swallowing,chestpain,Gastroesophageal Junction Obstruction,Surgery
Diarrhea,abdominalcramps,Pseudomembranous Colitis,Antibiotics
Weight loss,steatorrhea(fattystools),Pancreatic Insufficiency,Pancreatic enzyme replacement therapy
