Symptom;Symptom;Symptom;Disease;Treatment
Headache;Nausea;Vomiting;Migraine;Pain relievers
Headache;Nausea;Vomiting;Migraine;Triptans
Headache;Nausea;Vomiting;Migraine;Pain relievers
Stiff neck;Fever;Confusion;Meningitis;Antibiotics
Stiff neck;Fever;Confusion;Meningitis;Corticosteroids
Stiff neck;Fever;Confusion;Meningitis;Antiviral drugs
Tremors;Muscle stiffness;Slow movement;Parkinson's disease;Levodopa
Tremors;Muscle stiffness;Slow movement;Parkinson's disease;Levodopa
Tremors;Muscle stiffness;Slow movement;Parkinson's disease;Dopamine agonists
Weakness;Tingling;Numbness;Multiple sclerosis;Corticosteroids
Weakness;Tingling;Numbness;Multiple sclerosis;Interferons
Weakness;Tingling;Numbness;Multiple sclerosis;Plasma exchange
Muscle weakness;Slurred speech;Drooping eyelids;Myasthenia gravis;Anticholinesterase drugs
Muscle weakness;Slurred speech;Drooping eyelids;Myasthenia gravis;Immunosuppressants
Muscle weakness;Slurred speech;Drooping eyelids;Myasthenia gravis;Intravenous immunoglobulin
Seizures;Confusion;Staring spells;Epilepsy;Antiepileptic drugs
Seizures;Confusion;Staring spells;Epilepsy;Sodium valproate
Seizures;Confusion;Staring spells;Epilepsy;Lamotrigine
Headache;Memory loss;Difficulty concentrating;Concussion;Rest
Dizziness;Nausea;Loss of balance;Concussion;Physical rest
Dizziness;Nausea;Loss of balance;Concussion;Monitoring symptoms
Sudden headache;Weakness;Vision loss;Stroke;Clot-busting drugs
Sudden headache;Weakness;Vision loss;Stroke;Antiplatelet drugs
Sudden headache;Weakness;Vision loss;Stroke;Thrombolytics
Muscle twitching;Slurred speech;Drooping eyelids;ALS;Riluzole
Muscle weakness;Difficulty swallowing;Difficulty breathing;ALS;Antispastic drugs
Muscle weakness;Difficulty swallowing;Difficulty breathing;ALS;Physical therapy
Memory loss;Difficulty concentrating;Disorientation;Alzheimer's disease;Cholinesterase inhibitors
Memory loss;Difficulty concentrating;Disorientation;Alzheimer's disease;Memantine
Memory loss;Difficulty concentrating;Disorientation;Alzheimer's disease;Cognitive therapy
Back pain;Leg weakness;Tingling in legs;Spinal cord injury;Surgery
Back pain;Leg weakness;Tingling in legs;Spinal cord injury;Pain management
Back pain;Leg weakness;Tingling in legs;Spinal cord injury;Corticosteroids
Facial paralysis;Weakness;Loss of taste;Bell's palsy;Corticosteroids
Facial paralysis;Weakness;Loss of taste;Bell's palsy;Pain relievers
Facial paralysis;Weakness;Loss of taste;Bell's palsy;Artificial tears
Numbness;Pain;Burning sensation;Neuropathy;Antidepressants
Numbness;Pain;Burning sensation;Neuropathy;Anticonvulsants
Numbness;Pain;Burning sensation;Neuropathy;Topical analgesics
Jerking movements;Muscle stiffness;Uncontrollable movements;Huntington's disease;Tetrabenazine
Difficulty walking;Mood changes;Memory loss;Huntington's disease;Physical therapy
Impaired thinking;Depression;Slurred speech;Huntington's disease;Occupational therapy
Headache;Vomiting;Difficulty balancing;Brain tumor;Surgery
Seizures;Confusion;Vision loss;Brain tumor;Chemotherapy
Dizziness;Fatigue;Weakness;Brain tumor;Surgery
Headache;Blurred vision;Nausea;Brain hemorrhage;Clot removal surgery
Confusion;Paralysis;Slurred speech;Brain hemorrhage;Blood pressure management
Vomiting;Loss of balance;Seizures;Brain hemorrhage;Surgery
