Disease;Symptom;Treatment
Acne;Pimples;Topical retinoids
Eczema;Itchy;Moisturizers
Psoriasis;Red patches;Topical treatments
Rosacea;Facial redness;Topical medications
Dermatitis;Red;Moisturizers
Skin cancer (Melanoma);New or changing mole;Surgery
Basal Cell Carcinoma;Pearly bumps;Surgical excision
Squamous Cell Carcinoma;Firm;Surgery
Ringworm;Red;Antifungal creams
Fungal nail infection;Discolored;Antifungal medications
Athlete’s foot;Itching;Antifungal creams
Impetigo;Red sores;Antibiotic ointments
Shingles;Painful rash;Antiviral medications
Hives;Raised;Antihistamines
Vitiligo;Loss of skin color;Topical corticosteroids
Melasma;Brown or gray-brown patches on the face;Sunscreen
Pityriasis Rosea;Scaly;Antihistamines
Keratosis Pilaris;Small;Moisturizers
Contact Dermatitis;Red;Avoidance of irritant
Scabies;Intense itching;Scabicide lotion
Folliculitis;Red;Antibiotics
Lichen Planus;Purple;Topical corticosteroids
Erythema Multiforme;Target-shaped red spots;Antihistamines
Skin Tags;Small;Surgical removal
Granuloma Annulare;Ring-shaped lesions;Topical steroids
Molluscum Contagiosum;Small;Cryotherapy
Candidiasis;Itchy;Antifungal creams
Acne Rosacea;Redness;Topical medications
Lichen Sclerosus;White patches;Topical corticosteroids
Keloids;Raised scars;Steroid injections
Seborrheic Dermatitis;Oily;Antifungal shampoos
Psoriatic Arthritis;Joint pain;NSAIDs
Chloasma (Melasma);Dark;Sunscreen
Pityriasis Versicolor;Discolored patches on skin;Antifungal treatments
Nummular Eczema;Coin-shaped patches of irritated skin;Moisturizers
Scalp Psoriasis;Scaly patches on the scalp;Topical treatments
Actinic Keratosis;Rough;Cryotherapy
Cutaneous T-cell Lymphoma;Scaly patches;Chemotherapy
Bullous Pemphigoid;Large;Corticosteroids
Epidermolysis Bullosa;Fragile skin;Wound care
Chagas Disease (cutaneous);Skin lesions;Antiparasitic medications
Kaposi Sarcoma;Purple or brown lesions on skin;Chemotherapy
Nevus (Mole);Pigmented skin lesions;Monitoring
Xerosis;Dry;Moisturizers
Miliaria (Heat Rash);Small red bumps;Cool compresses
Psoriasis Arthritis;Joint pain;NSAIDs
Sweet’s Syndrome;Fever;Corticosteroids
Lymphomatoid Papulosis;Papules;Observation
Pyoderma Gangrenosum;Painful ulcers;Corticosteroids
Acne;Pimples;Topical retinoids
Eczema;Itchy;Moisturizers
Psoriasis;Red patches;Topical treatments
Rosacea;Facial redness;Topical medications
Dermatitis;Red;Moisturizers
Skin cancer (Melanoma);New or changing mole;Surgery
Basal Cell Carcinoma;Pearly bumps;Surgical excision
Squamous Cell Carcinoma;Firm;Surgery
Ringworm;Red;Antifungal creams
Fungal nail infection;Discolored;Antifungal medications
Athlete’s foot;Itching;Antifungal creams
Impetigo;Red sores;Antibiotic ointments
Shingles;Painful rash;Antiviral medications
Hives;Raised;Antihistamines
Vitiligo;Loss of skin color;Topical corticosteroids
Melasma;Brown or gray-brown patches on the face;Sunscreen
Pityriasis Rosea;Scaly;Antihistamines
Keratosis Pilaris;Small;Moisturizers
Contact Dermatitis;Red;Avoidance of irritant
Scabies;Intense itching;Scabicide lotion
Folliculitis;Red;Antibiotics
Lichen Planus;Purple;Topical corticosteroids
Erythema Multiforme;Target-shaped red spots;Antihistamines
Skin Tags;Small;Surgical removal
Granuloma Annulare;Ring-shaped lesions;Topical steroids
Molluscum Contagiosum;Small;Cryotherapy
Candidiasis;Itchy;Antifungal creams
Acne Rosacea;Redness;Topical medications
Lichen Sclerosus;White patches;Topical corticosteroids
Keloids;Raised scars;Steroid injections
Seborrheic Dermatitis;Oily;Antifungal shampoos
Psoriatic Arthritis;Joint pain;NSAIDs
Chloasma (Melasma);Dark;Sunscreen
Pityriasis Versicolor;Discolored patches on skin;Antifungal treatments
Nummular Eczema;Coin-shaped patches of irritated skin;Moisturizers
Scalp Psoriasis;Scaly patches on the scalp;Topical treatments
Actinic Keratosis;Rough;Cryotherapy
Cutaneous T-cell Lymphoma;Scaly patches;Chemotherapy
Bullous Pemphigoid;Large;Corticosteroids
Epidermolysis Bullosa;Fragile skin;Wound care
Chagas Disease (cutaneous);Skin lesions;Antiparasitic medications
Kaposi Sarcoma;Purple or brown lesions on skin;Chemotherapy
Nevus (Mole);Pigmented skin lesions;Monitoring
Xerosis;Dry;Moisturizers
Miliaria (Heat Rash);Small red bumps;Cool compresses
Psoriasis Arthritis;Joint pain;NSAIDs
Sweet’s Syndrome;Fever;Corticosteroids
Lymphomatoid Papulosis;Papules;Observation
Pyoderma Gangrenosum;Painful ulcers;Corticosteroids
