Symptom,Symptom,Symptom,Disease,Treatment
painful urination,blood in urine,fever,urinary tract infection,antibiotics
painful urination,blood in urine,fever,urinary tract infection,antibiotics
vaginal bleeding,painful cramps,nausea,menstrual disorder,pain relievers
vaginal bleeding,painful cramps,nausea,menstrual disorder,pain relievers
abdominal pain,fever,painful urination,pelvic inflammatory disease,antibiotics
abdominal pain,fever,painful urination,pelvic inflammatory disease,antibiotics
swelling in genitals,painful urination,fever,urinary tract infection,antibiotics
swelling in genitals,painful urination,fever,urinary tract infection,antibiotics
painful intercourse,vaginal bleeding,lower abdominal pain,endometriosis,pain relievers
painful intercourse,vaginal bleeding,lower abdominal pain,endometriosis,pain relievers
itchy genitals,redness,swelling,yeast infection,antifungal cream
itchy genitals,redness,swelling,yeast infection,antifungal cream
lower abdominal pain,fever,nausea,ectopic pregnancy,surgery
lower abdominal pain,fever,nausea,ectopic pregnancy,surgery
painful urination,blood in urine,fever,urinary tract infection,antibiotics
painful urination,blood in urine,fever,urinary tract infection,antibiotics
vaginal bleeding,painful cramps,nausea,menstrual disorder,pain relievers
vaginal bleeding,painful cramps,nausea,menstrual disorder,pain relievers
abdominal pain,fever,painful urination,pelvic inflammatory disease,antibiotics
abdominal pain,fever,painful urination,pelvic inflammatory disease,antibiotics
swelling in genitals,painful urination,fever,urinary tract infection,antibiotics
swelling in genitals,painful urination,fever,urinary tract infection,antibiotics
painful intercourse,vaginal bleeding,lower abdominal pain,endometriosis,pain relievers
painful intercourse,vaginal bleeding,lower abdominal pain,endometriosis,pain relievers
itchy genitals,redness,swelling,yeast infection,antifungal cream
itchy genitals,redness,swelling,yeast infection,antifungal cream
lower abdominal pain,fever,nausea,ectopic pregnancy,surgery
lower abdominal pain,fever,nausea,ectopic pregnancy,surgery
irregular periods,heavy bleeding,abdominal pain,uterine fibroids,hormonal therapy
irregular periods,heavy bleeding,abdominal pain,uterine fibroids,hormonal therapy
painful cramps,fatigue,lower back pain,endometriosis,pain relievers
painful cramps,fatigue,lower back pain,endometriosis,pain relievers
abnormal discharge,painful urination,fever,urinary tract infection,antibiotics
abnormal discharge,painful urination,fever,urinary tract infection,antibiotics
painful intercourse,abdominal pain,nausea,ovarian cyst,pain relievers
painful intercourse,abdominal pain,nausea,ovarian cyst,pain relievers
painful urination,abnormal discharge,painful cramps,sexually transmitted infection,antibiotics
painful urination,abnormal discharge,painful cramps,sexually transmitted infection,antibiotics
vaginal itching,painful cramps,painful urination,bacterial vaginosis,antibiotics
vaginal itching,painful cramps,painful urination,bacterial vaginosis,antibiotics
abnormal bleeding,nausea,painful urination,urinary tract infection,antibiotics
abnormal bleeding,nausea,painful urination,urinary tract infection,antibiotics
vaginal discharge,painful cramps,swelling,yeast infection,antifungal cream
vaginal discharge,painful cramps,swelling,yeast infection,antifungal cream
swollen breasts,abnormal bleeding,painful cramps,pregnancy,prenatal care
swollen breasts,abnormal bleeding,painful cramps,pregnancy,prenatal care
