Disease;Symptom;treatments
Drug Reaction;Rash, itching, swelling, difficulty breathing;consult nearest hospital,stop taking drug,follow up
Malaria;Fever, chills, headache, nausea;avoid oily food,avoid non veg food,keep mosquitos out
Allergy;Itching, hives, swelling, difficulty breathing;cover area with bandage,,use ice to compress itching
Hypothyroidism;Fatigue, weight gain, sensitivity to cold, dry skin;exercise,eat healthy,get proper sleep
Psoriasis;Red, flaky patches, itching, thickened skin;stop bleeding using pressure,consult doctor,salt baths
GERD;Heartburn, regurgitation, chest pain;avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis;Jaundice, fatigue, abdominal pain;anti itch medicine,consult doctor,eat healthy
hepatitis A;Fever, fatigue, jaundice, abdominal pain;wash hands through,avoid fatty spicy food,medication
Osteoarthristis;Joint pain, stiffness, swelling;consult nearest hospital,follow up,salt baths
(vertigo) Paroymsal  Positional Vertigo;Dizziness, nausea, balance issues;avoid sudden change in body,avoid abrupt head movment,relax
Hypoglycemia;Dizziness, sweating, confusion, shakiness;check in pulse,drink sugary drinks,consult doctor
Acne;Oily skin, pimples, scarring;avoid fatty spicy food,drink plenty of water,avoid too many products
Diabetes ;Increased thirst, frequent urination, fatigue;exercise,consult doctor,follow up
Impetigo;Red, itchy sores, crusting;use antibiotics,remove scabs with wet compressed cloth,consult doctor
Hypertension ;Headache, nosebleeds, vision problems;salt baths,reduce stress,get proper sleep
Peptic ulcer diseae;Abdominal pain, bloating, indigestion;consume probiotic food,eliminate milk,limit alcohol
Dimorphic hemmorhoids(piles);Pain during bowel movements, rectal bleeding;consume witch hazel,warm bath with epsom salt,consume alovera juice
Common Cold;Runny nose, cough, sore throat, fatigue;take vapour,avoid cold food,keep fever in check
Chicken pox;Itchy rash, fever, fatigue;consume neem leaves,take vaccine,avoid public places
Cervical spondylosis;Neck pain, stiffness, headaches;exercise,take otc pain reliver,consult doctor
Hyperthyroidism;Weight loss, increased heart rate, anxiety;massage,use lemon balm,take radioactive iodine treatment
Urinary tract infection;Painful urination, frequent urination, lower abdominal pain;increase vitamin c intake,drink cranberry juice,take probiotics
Varicose veins;Swelling, aching, heaviness in legs;use oinments,use vein compression,dont stand still for long
AIDS;Fatigue, weight loss, recurrent infections;wear ppe if possible,consult doctor,follow up
Paralysis (brain hemorrhage);Weakness, paralysis, difficulty speaking;eat healthy,exercise,consult doctor
Typhoid;Fever, abdominal pain, weakness;antiboitic therapy,consult doctor,medication
Hepatitis B;Jaundice, fatigue, abdominal pain;vaccination,eat healthy,medication
Fungal infection;Itching, redness, scaling;use detol or neem in bathing water,keep infected area dry,use clean cloths
Hepatitis C;Fatigue, jaundice, abdominal pain;vaccination,eat healthy,medication
Migraine;Severe headache, nausea, sensitivity to light;reduce stress,use poloroid glasses in sun,consult doctor
Bronchial Asthma;Wheezing, coughing, shortness of breath;take deep breaths,get away from trigger,seek help
Alcoholic hepatitis;Jaundice, fatigue, abdominal pain;consult doctor,medication,follow up
Jaundice;Yellowing of skin and eyes, fatigue, dark urine;consume milk thistle,eat fruits and high fiberous food,medication
Hepatitis E;High fever, severe headache, joint and muscle pain;rest,consult doctor,medication
Dengue;Fatigue, jaundice, abdominal pain;avoid fatty spicy food,keep mosquitos away,keep hydrated
Hepatitis D;Chest pain, shortness of breath, nausea;medication,eat healthy,follow up
Heart attack;Cough, fever, shortness of breath;chew or swallow asprin,keep calm,
Pneumonia;Joint pain, stiffness, swelling;medication,rest,follow up
Arthritis;Nausea, vomiting, diarrhea;use hot and cold therapy,try acupuncture,massage
Gastroenteritis;Cough, fever, night sweats, weight loss;try taking small sips of water,rest,ease back into eating
Tuberculosis;Shortness of breath, chronic cough, wheezing;consult doctor,medication,rest
