Symptom;Disease;Treatment
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,normal cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,normal cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,normal cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,normal cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,normal cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
normal blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;normal heart;Lifestyle changes, exercise more, consult to doctor
chest pain, fatigue, shortness of breath,high blood pressure,high cholesterol;heart disease;Lifestyle changes, exercise more, consult to doctor
