Symptom,Symptom,Disease,Treatment
Fever,Cough,Common Cold,Ibuprofen
Headache,Fatigue,Migraine,Sumatriptan
Shortness of breath,Chest tightness,Asthma,Albuterol Inhaler
Nausea,Vomiting,Gastroenteritis,Oral Rehydration
Sore Throat,Sore throat,Strep Throat,Penicillin
Joint Pain,Fatigue,Arthritis,NSAIDs
Chest Pain,Dizziness,Hypertension,Amlodipine
Itching,Redness,Allergic Reaction,Antihistamine
Abdominal Pain,Bloating,Indigestion,Antacids
Fatigue,Sadness,Major Depressive,Sertraline
Fever,Muscle Aches,Influenza,Acetaminophen
Cough,Sneezing,Common Cold,Honey
Nausea,Dizziness,Motion Sickness,Dimenhydrinate
Shortness of breath,Chest tightness,Chronic Bronchitis,Inhalers
Headache, Blurred Vision,Migraine,Beta-blockers
Stomach Pain, Diarrhea,Gastritis,Antacids
Joint Pain, Swelling,Rheumatoid Arthritis,NSAIDs
Fever, Sore Throat,Tonsillitis,Fluids
Back Pain, Numbness,Sciatica,Pain Relievers
Nausea, Vomiting,Morning Sickness,Ginger
Fatigue, Weakness,Iron Deficiency,Iron Supplements
Anxiety, Rapid Heartbeat,Panic Disorder,Cognitive Therapy
Shortness of breath,Shortness of breath,Sleep Apnea,CPAP Machine
Skin Rash, Itching,Dermatitis,Topical Steroids
Cough, Fever,Respiratory infection,Antivirals
Joint Pain, Fatigue,Arthritis,Pain Relievers
Dizziness, Fatigue,Heat Exhaustion,Hydration
Headache, Sensitivity,Tension Headache,Relaxation
Abdominal Pain,abdominal pain,Indigestion,Antacids
Nausea, Cramps,Menstrual Cramps,Pain Relievers
Chest Pain, Shortness of breath,Coronary ArteryDisease,Nitroglycerin
Fatigue, Difficulty breathing,Thyroid Disorder,Levothyroxine
Fever, Chills,Pneumonia,Antibiotics
Cough, Shortness of breath,COVID-19,Isolation
Itching, Redness,Allergic Reaction,Antihistamine
Muscle Pain, Fatigue,Muscle Strain, Pain Relievers
Nausea, Vomiting,Gastroenteritis,Oral Rehydration
Headache, Blurred Vision,Vision Fatigue, Pain Relievers
Stomach Pain, Diarrhea,Gastroenteritis,Fluids
Back Pain, Numbness,Herniated Disc,Pain Relievers
Fever, Sore Throat,Tonsillitis,Fluids
Fatigue, Weakness,Chronic Fatigue Syndrome,Lifestyle changes
Anxiety, Palpitations,Anxiety Disorder,Therapy
Chest Pain, Shortness of breath,Muscle Overuse,Rest
Joint Pain, Swelling,Arthritis,NSAIDs
Nausea, Dizziness,Motion Sickness,Dimenhydrinate
Fever, Cough,Common Cold,Ibuprofen
Headache, Fatigue,Migraine,Sumatriptan
Shortness of breath,Chest tightness,Asthma,Albuterol Inhaler
Nausea, Vomiting,Gastroenteritis,Oral Rehydration
Sore Throat,Sore throat,Strep Throat,Penicillin
Joint Pain, Fatigue,Arthritis,NSAIDs
Chest Pain, Dizziness,Hypertension,Amlodipine
Itching, Redness,Allergic Reaction,Antihistamine
Abdominal Pain, Bloating,Indigestion,Antacids
Fatigue, Sadness,Major Depressive Disorder,Sertraline
Chest Pain, Shortness of breath,Muscle Overuse,Stretching
Joint Pain, Swelling,Arthritis,NSAIDs
Nausea, Dizziness,Motion Sickness,Dimenhydrinate
Fatigue, Weakness,Chronic Fatigue Syndrome,Rest
Fever, Chills,Pneumonia,Antibiotics
Cough, Shortness of breat,COVID-19,Isolation
Itching, Redness,Allergic Reaction,Antihistamine
Muscle Pain, Fatigue,Muscle Strain,Pain Relievers
Nausea, Vomiting,Gastroenteritis,Oral Rehydration
Headache, Blurred Vision,Vision Fatigue, Pain Relievers
Stomach Pain, Diarrhea,Gastroenteritis,Fluids
Back Pain, Numbness,Herniated Disc,Pain Relievers
Fever, Sore Throat,Tonsillitis,Fluids
Fatigue, Weakness,Chronic Fatigue Syndrome, Pain Relievers
Anxiety, Palpitations,Anxiety Disorder,Therapy
Chest Pain, Shortness,Muscle Overuse,Stretching
Joint Pain, Swelling,Arthritis,NSAIDs
Nausea, Dizziness,Motion Sickness,Dimenhydrinate
Fatigue, Weakness,Chronic Fatigue, Pain Relievers
Fever, Chills,Pneumonia,Antibiotics
Cough, Shortness of breat,COVID-19,Isolation
Itching, Redness,Allergic Reaction,Antihistamine
Muscle Pain, Fatigue,Muscle Strain, Pain Relievers
Nausea, Vomiting,Gastroenteritis,Oral Rehydration
Headache, Blurred Vision,Vision Fatigue,Eye Exercises
Stomach Pain, Diarrhea,Gastroenteritis,Fluids
Back Pain, Numbness,Herniated Disc,Pain Relievers
Fever, Sore Throat,Tonsillitis,Fluids
Fatigue, Weakness,Chronic Fatigue Syndrome, Pain Relievers
Anxiety, Palpitations,Anxiety Disorder,Therapy
Chest Pain, Shortness of breath,Muscle Overuse, Pain Relievers
Nausea, Dizziness,Motion Sickness,Dimenhydrinate
Fatigue, Weakness,Chronic Fatigue Syndrome,Lifestyle changes
Abdominal Pain, Bloating,Indigestion,Antacids
