Symptom;Disease;Treatment
Fever, Cough;Common Cold;Ibuprofen, Rest
Headache, Fatigue;Migraine;Sumatriptan
Shortness of breath;Asthma;Albuterol Inhaler
Nausea, Vomiting;Gastroenteritis;Oral Rehydration
Sore Throat;Strep Throat;Penicillin
Joint Pain, Fatigue;Arthritis;NSAIDs
Chest Pain, Dizziness;Hypertension;Amlodipine
Itching, Redness;Allergic Reaction;Antihistamine
Abdominal Pain, Bloating;Indigestion;Antacids
Fatigue, Sadness;Major Depressive;Sertraline
Fever, Muscle Aches;Influenza;Acetaminophen
Cough, Sneezing;Common Cold;Honey, Rest
Nausea, Dizziness;Motion Sickness;Dimenhydrinate
Shortness of breath;Chronic Bronchitis;Inhalers
Headache, Blurred Vision;Migraine;Beta-blockers
Stomach Pain, Diarrhea;Gastritis;Antacids, Rest
Joint Pain, Swelling;Rheumatoid Arthritis;NSAIDs
Fever, Sore Throat;Tonsillitis;Fluids, Rest
Back Pain, Numbness;Sciatica;Pain Relievers
Nausea, Vomiting;Morning Sickness;Ginger, Vitamin B6
Fatigue, Weakness;Iron Deficiency;Iron Supplements
Anxiety, Rapid Heartbeat;Panic Disorder;Cognitive Therapy
Shortness of breath;Sleep Apnea;CPAP Machine
Skin Rash, Itching;Dermatitis;Topical Steroids
Cough, Fever;Respiratory infection;Antivirals, Rest
Joint Pain, Fatigue;Arthritis;Pain Relievers
Dizziness, Fatigue;Heat Exhaustion;Hydration, Rest
Headache, Sensitivity;Tension Headache;Relaxation, NSAIDs
Abdominal Pain;Indigestion;Antacids
Nausea, Cramps;Menstrual Cramps;Pain Relievers
Chest Pain, Shortness of breath;Coronary ArteryDisease;Nitroglycerin
Fatigue, Difficulty breathing;Thyroid Disorder;Levothyroxine
Fever, Chills;Pneumonia;Antibiotics, Rest
Cough, Shortness of breath;COVID-19;Isolation, Fluids
Itching, Redness;Allergic Reaction;Antihistamine
Muscle Pain, Fatigue;Muscle Strain;Rest, Pain Relievers
Nausea, Vomiting;Gastroenteritis;Oral Rehydration
Headache, Blurred Vision;Vision Fatigue;Rest, Eye Exercises
Stomach Pain, Diarrhea;Gastroenteritis;Fluids, Bland Diet
Back Pain, Numbness;Herniated Disc;Pain Relievers, PT
Fever, Sore Throat;Tonsillitis;Fluids, Rest
Fatigue, Weakness;Chronic Fatigue Syndrome;Rest, Lifestyle
Anxiety, Palpitations;Anxiety Disorder;Therapy, Medication
Chest Pain, Shortness of breath;Muscle Overuse;Rest, Stretching
Joint Pain, Swelling;Arthritis;NSAIDs
Nausea, Dizziness;Motion Sickness;Dimenhydrinate
Fever, Cough;Common Cold;Ibuprofen, Rest
Headache, Fatigue;Migraine;Sumatriptan
Shortness of breath;Asthma;Albuterol Inhaler
Nausea, Vomiting;Gastroenteritis;Oral Rehydration
Sore Throat;Strep Throat;Penicillin
Joint Pain, Fatigue;Arthritis;NSAIDs
Chest Pain, Dizziness;Hypertension;Amlodipine
Itching, Redness;Allergic Reaction;Antihistamine
Abdominal Pain, Bloating;Indigestion;Antacids
Fatigue, Sadness;Major Depressive Disorder;Sertraline
Chest Pain, Shortness of breath;Muscle Overuse;Rest, Stretching
Joint Pain, Swelling;Arthritis;NSAIDs
Nausea, Dizziness;Motion Sickness;Dimenhydrinate
Fatigue, Weakness;Chronic Fatigue Syndrome;Rest, Lifestyle
Fever, Chills;Pneumonia;Antibiotics, Rest
Cough, Shortness of breat;COVID-19;Isolation, Fluids
Itching, Redness;Allergic Reaction;Antihistamine
Muscle Pain, Fatigue;Muscle Strain;Rest, Pain Relievers
Nausea, Vomiting;Gastroenteritis;Oral Rehydration
Headache, Blurred Vision;Vision Fatigue;Rest, Eye Exercises
Stomach Pain, Diarrhea;Gastroenteritis;Fluids, Bland Diet
Back Pain, Numbness;Herniated Disc;Pain Relievers, PT
Fever, Sore Throat;Tonsillitis;Fluids, Rest
Fatigue, Weakness;Chronic Fatigue Syndrome;Rest, Lifestyle
Anxiety, Palpitations;Anxiety Disorder;Therapy, Medication
Chest Pain, Shortness;Muscle Overuse;Rest, Stretching
Joint Pain, Swelling;Arthritis;NSAIDs
Nausea, Dizziness;Motion Sickness;Dimenhydrinate
Fatigue, Weakness;Chronic Fatigue;Rest, Lifestyle
Fever, Chills;Pneumonia;Antibiotics, Rest
Cough, Shortness of breat;COVID-19;Isolation, Fluids
Itching, Redness;Allergic Reaction;Antihistamine
Muscle Pain, Fatigue;Muscle Strain;Rest, Pain Relievers
Nausea, Vomiting;Gastroenteritis;Oral Rehydration
Headache, Blurred Vision;Vision Fatigue;Rest, Eye Exercises
Stomach Pain, Diarrhea;Gastroenteritis;Fluids, Bland Diet
Back Pain, Numbness;Herniated Disc;Pain Relievers, PT
Fever, Sore Throat;Tonsillitis;Fluids, Rest
Fatigue, Weakness;Chronic Fatigue Syndrome;Rest, Lifestyle
Anxiety, Palpitations;Anxiety Disorder;Therapy, Medication
Chest Pain, Shortness of breath;Muscle Overuse;Rest, Stretching
Nausea, Dizziness;Motion Sickness;Dimenhydrinate
Fatigue, Weakness;Chronic Fatigue Syndrome;Rest, Lifestyle
Abdominal Pain, Bloating;Indigestion;Antacids
Fatigue, Weakness;Iron Deficiency;Iron Supplements
Anxiety, Rapid Heartbeat;Panic Disorder;Cognitive Therapy
Shortness of breath;Sleep Apnea;CPAP Machine
Skin Rash, Itching;Dermatitis;Topical Steroids
Cough, Fever;RespiratoryInfection;Antivirals, Rest
Joint Pain, Fatigue;Arthritis;Pain Relievers
Dizziness, Fatigue;Heat Exhaustion;Hydration, Rest
Headache, Sensitivity;Tension Headache;Relaxation, NSAIDs
Abdominal Pain, Bloating;Indigestion;Antacids
Nausea, Cramps;Menstrual Cramps;Pain Relievers
Chest Pain, Shortness of breath;Coronary Artery;Nitroglycerin,Aspirin
Fatigue, Difficulty breathing;Thyroid Disorder;Levothyroxine
Fever, Chills;Pneumonia;Antibiotics, Rest
Cough, Shortness of breath;COVID-19;Isolation, Fluids
Itching, Redness;Allergic Reaction;Antihistamine
Muscle Pain, Fatigue;Muscle Strain;Rest, Pain Relievers
Nausea, Vomiting;Gastroenteritis;Oral Rehydration
Headache, Blurred Vision;Vision Fatigue;Rest, Eye Exercises
Stomach Pain, Diarrhea;Gastroenteritis;Fluids, Bland Diet
Back Pain, Numbness;Herniated Disorder;Pain Relievers, PT
Fever, Sore Throat;Tonsillitis;Fluids, Rest
Fatigue, Weakness;Chronic Fatigue Syndrome;Rest, Lifestyle
Anxiety, Palpitations;Anxiety Disorder;Therapy, Medication
Chest Pain, Shortness;Muscle Overuse;Rest, Stretching
Joint Pain, Swelling;Arthritis;NSAIDs
Nausea, Dizziness;Motion Sickness;Dimenhydrinate
Fatigue, Weakness;Chronic Fatigue;Rest, Lifestyle
Fever, Chills;Pneumonia;Antibiotics, Rest
Cough, Shortness of breath;COVID-19;Isolation, Fluids
Itching, Redness;Allergic Reaction;Antihistamine
Muscle Pain, Fatigue;Muscle Strain;Rest, Pain Relievers
