Disease;Symptom;Treatment
Influenza;fever, cough, fatigue, difficulty breathing;Antiviral medications, rest, hydration
Common Cold;Not fever, not cough, fatigue, not difficulty breathing;Rest, hydration, over-the-counter medications
Eczema;Not fever, not cough, fatigue, not difficulty breathing;Topical corticosteroids, moisturizers
Asthma;fever, not cough, not fatigue, difficulty breathing;Inhalers, corticosteroids, bronchodilators
Asthma;fever, not cough, not fatigue, difficulty breathing;Inhalers, corticosteroids, bronchodilators
Eczema;fever, cough, not fatigue, not difficulty breathing;Topical corticosteroids, moisturizers
Influenza;fever, not cough, fatigue, difficulty breathing;Antiviral medications, rest, hydration
Influenza;fever, not cough, fatigue, difficulty breathing;Antiviral medications, rest, hydration
Hyperthyroidism;Not fever, not cough, not fatigue, not difficulty breathing;Antithyroid medications
Hyperthyroidism;Not fever, not cough, not fatigue, not difficulty breathing;Antithyroid medications
Asthma;fever, cough, not fatigue, difficulty breathing;Inhalers, corticosteroids, bronchodilators
Allergic Rhinitis;Not fever, not cough, fatigue, not difficulty breathing;Antihistamines, nasal sprays
Anxiety Disorders;Not fever, not cough, not fatigue, not difficulty breathing;Therapy, medications (SSRIs)
Common Cold;Not fever, cough, not fatigue, not difficulty breathing;Rest, hydration, over-the-counter medications
Diabetes;Not fever, cough, not fatigue, not difficulty breathing;Insulin therapy, diet management
Gastroenteritis;Not fever, not cough, not fatigue, not difficulty breathing;Hydration, anti-nausea medications
Pancreatitis;fever, cough, not fatigue, not difficulty breathing;Pain management, dietary changes
Rheumatoid Arthritis;Not fever, not cough, fatigue, difficulty breathing;NSAIDs, corticosteroids, disease-modifying drugs
Depression;fever, not cough, fatigue, difficulty breathing;Antidepressants, therapy
Liver Cancer;fever, not cough, fatigue, difficulty breathing;Chemotherapy, pain management
Stroke;fever, not cough, fatigue, difficulty breathing;Emergency treatment, rehabilitation
Urinary Tract Infection;fever, not cough, fatigue, not difficulty breathing;Antibiotics, hydration
Dengue Fever;fever, cough, fatigue, not difficulty breathing;Supportive care, hydration
Dengue Fever;fever, cough, fatigue, not difficulty breathing;Supportive care, hydration
Eczema;Not fever, not cough, fatigue, not difficulty breathing;Topical corticosteroids, moisturizers
Gastroenteritis;fever, not cough, fatigue, not difficulty breathing;Hydration, anti-nausea medications
Hepatitis;fever, not cough, fatigue, difficulty breathing;Antiviral medications, lifestyle changes
Kidney Cancer;Not fever, cough, fatigue, not difficulty breathing;Surgery, chemotherapy
Migraine;fever, cough, not fatigue, not difficulty breathing;Pain relievers, triptans
Migraine;Not fever, not cough, fatigue, not difficulty breathing;Pain relievers, lifestyle changes
Muscular Dystrophy;Not fever, cough, fatigue, not difficulty breathing;Physical therapy, supportive care
Sinusitis;Not fever, not cough, fatigue, not difficulty breathing;Decongestants, nasal corticosteroids
Ulcerative Colitis;fever, not cough, not fatigue, not difficulty breathing;Anti-inflammatory drugs, dietary changes
Ulcerative Colitis;Not fever, not cough, fatigue, not difficulty breathing;Anti-inflammatory drugs, dietary changes
Asthma;fever, not cough, not fatigue, difficulty breathing;Inhalers, corticosteroids, bronchodilators
Asthma;fever, not cough, not fatigue, difficulty breathing;Inhalers, corticosteroids, bronchodilators
Asthma;fever, not cough, fatigue, difficulty breathing;Inhalers, corticosteroids, bronchodilators
Bipolar Disorder;Not fever, cough, fatigue, not difficulty breathing;Mood stabilizers, therapy
Bronchitis;fever, not cough, not fatigue, difficulty breathing;Bronchodilators, cough suppressants
Bronchitis;fever, not cough, fatigue, difficulty breathing;Bronchodilators, cough suppressants
Bronchitis;fever, not cough, fatigue, difficulty breathing;Bronchodilators, cough suppressants
Cerebral Palsy;Not fever, cough, fatigue, difficulty breathing;Physical therapy, supportive care
Colorectal Cancer;Not fever, cough, fatigue, not difficulty breathing;Surgery, chemotherapy
Eczema;fever, cough, not fatigue, not difficulty breathing;Topical corticosteroids, moisturizers
Hypertensive Heart Disease;Not fever, cough, fatigue, not difficulty breathing;Antihypertensive medications
Influenza;fever, not cough, fatigue, not difficulty breathing;Antiviral medications, rest, hydration
Influenza;fever, not cough, fatigue, difficulty breathing;Antiviral medications, rest, hydration
Multiple Sclerosis;Not fever, cough, fatigue, not difficulty breathing;Immunotherapy, symptomatic treatment
Myocardial Infarction (Heart Attack);fever, not cough, fatigue, difficulty breathing;Emergency treatment, medications
Urinary Tract Infection (UTI);fever, cough, not fatigue, not difficulty breathing;Antibiotics, hydration
Asthma;Not fever, cough, not fatigue, difficulty breathing;Inhalers, corticosteroids, bronchodilators
Osteoporosis;Not fever, cough, not fatigue, not difficulty breathing;Calcium, vitamin D, medications
Common Cold;fever, cough, fatigue, difficulty breathing;Rest, hydration, over-the-counter medications
Migraine;fever, cough, not fatigue, not difficulty breathing;Pain relievers, triptans
Pneumonia;fever, cough, fatigue, difficulty breathing;Antibiotics, rest, hydration
Allergic Rhinitis;Not fever, cough, fatigue, not difficulty breathing;Antihistamines, nasal sprays
Asthma;Not fever, not cough, fatigue, not difficulty breathing;Inhalers, corticosteroids, bronchodilators
Asthma;fever, not cough, fatigue, difficulty breathing;Inhalers, corticosteroids, bronchodilators
Asthma;Not fever, not cough, fatigue, not difficulty breathing;Inhalers, corticosteroids, bronchodilators
Asthma;Not fever, not cough, fatigue, not difficulty breathing;Inhalers, corticosteroids, bronchodilators
Atherosclerosis;Not fever, cough, fatigue, not difficulty breathing;Lifestyle changes, medications
Chronic Obstructive Pulmonary Disease;fever, not cough, fatigue, difficulty breathing;Bronchodilators, steroids
Common Cold;fever, not cough, fatigue, not difficulty breathing;Rest, hydration, over-the-counter medications
Eczema;Not fever, not cough, not fatigue, not difficulty breathing;Topical corticosteroids, moisturizers
Epilepsy;Not fever, cough, fatigue, not difficulty breathing;Antiepileptic medications
Hypertension;fever, not cough, fatigue, not difficulty breathing;Antihypertensive medications
Hyperthyroidism;fever, not cough, fatigue, not difficulty breathing;Antithyroid medications
Obsessive-Compulsive Disorder;Not fever, cough, fatigue, not difficulty breathing;Therapy, medications (SSRIs)
Pneumonia;fever, not cough, fatigue, difficulty breathing;Antibiotics, rest, hydration
Pneumonia;fever, not cough, fatigue, difficulty breathing;Antibiotics, rest, hydration
Psoriasis;fever, cough, not fatigue, not difficulty breathing;Topical treatments, phototherapy
Psoriasis;Not fever, not cough, fatigue, not difficulty breathing;Topical treatments
Rubella;fever, cough, fatigue, not difficulty breathing;Supportive care, hydration
Rubella;fever, cough, fatigue, not difficulty breathing;Supportive care, hydration
Urinary Tract Infection (UTI);Not fever, not cough, fatigue, not difficulty breathing;Antibiotics, hydration
Asthma;fever, not cough, not fatigue, difficulty breathing;Inhalers, corticosteroids, bronchodilators
Asthma;fever, not cough, not fatigue, difficulty breathing;corticosteroids, bronchodilators,inhalers
Cirrhosis;Not fever, cough, fatigue, not difficulty breathing;Supportive care, liver transplant
Conjunctivitis (Pink Eye);Not fever, not cough, not fatigue, not difficulty breathing;Eye drops, warm compresses
Depression;Not fever, cough, fatigue, not difficulty breathing;Antidepressants, therapy
Gastroenteritis;fever, cough, fatigue, difficulty breathing;Hydration, anti-nausea medications
Hyperthyroidism;fever, not cough, fatigue, not difficulty breathing;Antithyroid medications
Hyperthyroidism;fever, not cough, fatigue, not difficulty breathing;Antithyroid medications
Kidney Cancer;Not fever, cough, fatigue, not difficulty breathing;Surgery, chemotherapy
Liver Cancer;Not fever, cough, fatigue, not difficulty breathing;Chemotherapy, pain management
Liver Disease;Not fever, cough, fatigue, not difficulty breathing;Supportive care, lifestyle changes
Malaria;fever, cough, not fatigue, not difficulty breathing;Antimalarial medications
