Symptoms;Disease;Treatment
Fever, cough;Common Cold;Rest, hydration, over-the-counter medications
Abdominal pain, diarrhea;Gastroenteritis;Hydration, anti-nausea medications
Headache, nausea;Migraine;Pain relievers, rest, hydration
Chest pain, shortness of breath;Heart Attack;Emergency treatment, medications
Joint pain, swelling;Arthritis;Anti-inflammatory medications, physical therapy
Rash, itching;Dermatitis;Topical creams, antihistamines
Sore throat, fever;Strep Throat;Antibiotics
Abdominal bloating, constipation;Irritable Bowel Syndrome;Dietary modifications, medications
Fatigue, muscle weakness;Chronic Fatigue Syndrome;Lifestyle changes, medications
Rapid heartbeat, anxiety;Panic Disorder;Therapy, medications
Weight loss, excessive thirst;Diabetes Mellitus;Insulin, dietary changes
Persistent cough, wheezing;Asthma;Inhalers, medications
Skin lesions, fever;Psoriasis;Topical treatments, systemic medications
Painful urination, frequent urination;Urinary Tract Infection;Antibiotics
Dry skin, hair loss;Hypothyroidism;Thyroid hormone replacement therapy
Joint stiffness, fatigue;Rheumatoid Arthritis;Disease-modifying antirheumatic drugs (DMARDs)
Blurred vision, headaches;Glaucoma;Eye drops, surgery
Abdominal pain, changes in bowel habits;Colorectal Cancer;Surgery, chemotherapy
Coughing up blood, chest pain;Lung Cancer;Surgery, chemotherapy
Skin rashes, joint pain;Systemic Lupus Erythematosus;Corticosteroids, immunosuppressants
Severe headache, visual disturbances;Intracranial Hemorrhage;Emergency treatment, surgery
Frequent headaches, neck pain;Tension Headaches;Pain relievers, stress management
Difficulty swallowing, throat pain;Esophageal Cancer;Surgery, chemotherapy
Abdominal cramps, nausea;Food Poisoning;Hydration, anti-nausea medications
Swollen lymph nodes, fatigue;Lymphoma;Chemotherapy, radiation therapy
Hot flashes, night sweats;Menopause;Hormone replacement therapy
Memory loss, confusion;Alzheimer's Disease;Medications, supportive care
Nausea, vomiting;Motion Sickness;Anti-nausea medications
Chest discomfort, fatigue;Congestive Heart Failure;Diuretics, lifestyle changes
Dizziness, fainting;Anemia;Iron supplements, dietary changes
Muscle spasms, cramping;Electrolyte Imbalance;Hydration, electrolyte replacement
Shortness of breath, chronic cough;Chronic Obstructive Pulmonary Disease (COPD);Bronchodilators, oxygen therapy
Itchy eyes, sneezing;Allergic Rhinitis;Antihistamines, nasal corticosteroids
Back pain, radiating pain to legs;Sciatica;Physical therapy, medications
Dry mouth, excessive thirst;Sjögren's Syndrome;Artificial tears, saliva substitutes
Skin peeling, joint pain;Psoriatic Arthritis;DMARDs, topical treatments
Hoarseness, persistent cough;Laryngeal Cancer;Surgery, radiation therapy
Shortness of breath, chest tightness;Pulmonary Embolism;Anticoagulants, emergency treatment
Sudden weight gain, abdominal swelling;Cushing's Syndrome;Medications, surgery
Dull pain in lower back, bladder issues;Interstitial Cystitis;Pain relief, lifestyle changes
Severe fatigue, swollen lymph nodes;Infectious Mononucleosis;Rest, hydration, pain relievers
Persistent fever, chills;Tuberculosis;Antibiotics
Painful blisters, fever;Herpes Simplex;Antiviral medications
Abdominal pain, fever;Appendicitis;Surgery
